date,symbol,gap_pct,direction,entry_price,sl_price,target_price,outcome,exit_price,pnl_pct,pnl_rs,exit_time,candle_idx,month,gap_bucket
2023-06-01,ABB,-3.84,LONG,4131.05,4110.39,4193.02,LOSS,4110.39,-0.5,-495.73,2023-06-01 09:15:00+05:30,0,2023-06,3-5%
2024-02-21,ABB,3.2,SHORT,4670.7,4694.05,4600.64,LOSS,4694.05,-0.5,-490.42,2024-02-21 09:15:00+05:30,0,2024-02,3-5%
2024-02-22,ABB,3.83,SHORT,5201.4,5227.41,5123.38,LOSS,5227.41,-0.5,-494.13,2024-02-22 09:15:00+05:30,0,2024-02,3-5%
2024-03-27,ABB,4.14,SHORT,6175.45,6206.33,6082.82,LOSS,6206.33,-0.5,-494.04,2024-03-27 09:15:00+05:30,0,2024-03,3-5%
2024-05-13,ABB,4.2,SHORT,7506.8,7544.33,7394.2,LOSS,7544.33,-0.5,-487.94,2024-05-13 09:15:00+05:30,0,2024-05,3-5%
2024-06-03,ABB,2.55,SHORT,8500.5,8543.0,8372.99,LOSS,8543.0,-0.5,-467.53,2024-06-03 10:15:00+05:30,1,2024-06,2-3%
2024-06-05,ABB,2.48,SHORT,7849.85,7889.1,7732.1,WIN,7732.1,1.5,1412.97,2024-06-05 09:15:00+05:30,0,2024-06,2-3%
2024-08-05,ABB,-2.31,LONG,7400.0,7363.0,7511.0,LOSS,7363.0,-0.5,-481.0,2024-08-05 09:15:00+05:30,0,2024-08,2-3%
2024-08-09,ABB,2.52,SHORT,8142.3,8183.01,8020.17,LOSS,8183.01,-0.5,-488.54,2024-08-09 09:15:00+05:30,0,2024-08,2-3%
2024-11-25,ABB,3.76,SHORT,7166.0,7201.83,7058.51,LOSS,7201.83,-0.5,-465.79,2024-11-25 10:15:00+05:30,1,2024-11,3-5%
2025-02-03,ABB,-7.81,LONG,5415.8,5388.72,5497.04,LOSS,5388.72,-0.5,-487.42,2025-02-03 09:15:00+05:30,0,2025-02,5-10%
2025-02-18,ABB,3.27,SHORT,5422.25,5449.36,5340.92,LOSS,5449.36,-0.5,-488.0,2025-02-18 09:15:00+05:30,0,2025-02,3-5%
2025-04-07,ABB,-6.22,LONG,4779.15,4755.25,4850.84,WIN,4850.84,1.5,1433.74,2025-04-07 09:15:00+05:30,0,2025-04,5-10%
2025-04-11,ABB,2.25,SHORT,5148.95,5174.69,5071.72,WIN,5071.72,1.5,1467.45,2025-04-11 10:15:00+05:30,1,2025-04,2-3%
2025-04-21,ABB,2.28,SHORT,5692.0,5720.46,5606.62,WIN,5606.62,1.5,1451.46,2025-04-21 09:15:00+05:30,0,2025-04,2-3%
2025-05-12,ABB,2.74,SHORT,5615.0,5643.08,5530.78,LOSS,5643.08,-0.5,-477.27,2025-05-12 09:15:00+05:30,0,2025-05,2-3%
2025-06-13,ABB,-2.03,LONG,5898.5,5869.01,5986.98,WIN,5986.98,1.5,1415.64,2025-06-13 14:15:00+05:30,5,2025-06,2-3%
2025-11-07,ABB,-2.26,LONG,5110.0,5084.45,5186.65,LOSS,5084.45,-0.5,-485.45,2025-11-07 09:15:00+05:30,0,2025-11,2-3%
2026-02-03,ABB,4.83,SHORT,5732.0,5760.66,5646.02,WIN,5646.02,1.5,1461.66,2026-02-03 09:15:00+05:30,0,2026-02,3-5%
2026-03-02,ABB,-2.05,LONG,5955.5,5925.72,6044.83,WIN,6044.83,1.5,1429.32,2026-03-02 09:15:00+05:30,0,2026-03,2-3%
2026-03-24,ABB,2.72,SHORT,6199.0,6229.99,6106.02,WIN,6106.02,1.5,1487.76,2026-03-24 09:15:00+05:30,0,2026-03,2-3%
2026-04-01,ABB,2.68,SHORT,6101.0,6131.5,6009.48,LOSS,6131.5,-0.5,-488.08,2026-04-01 09:15:00+05:30,0,2026-04,2-3%
2023-12-04,ACC,3.12,SHORT,1959.55,1969.35,1930.16,LOSS,1969.35,-0.5,-499.69,2023-12-04 09:15:00+05:30,0,2023-12,3-5%
2024-06-03,ACC,4.5,SHORT,2661.05,2674.36,2621.13,LOSS,2674.36,-0.5,-492.29,2024-06-03 09:15:00+05:30,0,2024-06,3-5%
2024-06-05,ACC,3.03,SHORT,2349.0,2360.74,2313.76,WIN,2313.76,1.5,1479.87,2024-06-05 09:15:00+05:30,0,2024-06,3-5%
2024-07-30,ACC,-2.37,LONG,2542.65,2529.94,2580.79,WIN,2580.79,1.5,1487.45,2024-07-30 09:15:00+05:30,0,2024-07,2-3%
2024-10-03,ACC,-2.01,LONG,2460.6,2448.3,2497.51,WIN,2497.51,1.5,1476.36,2024-10-03 09:15:00+05:30,0,2024-10,2-3%
2024-11-21,ACC,-8.44,LONG,2001.3,1991.29,2031.32,LOSS,1991.29,-0.5,-490.32,2024-11-21 09:15:00+05:30,0,2024-11,5-10%
