date,open,high,low,close,volume
2025-07-31,81.1,87.84,81.1,85.32,21119517.0
2025-08-01,85.0,87.33,84.0,84.3,2421603.0
2025-08-04,84.19,85.0,81.38,82.49,2245806.0
2025-08-05,82.49,83.09,80.15,80.37,1629096.0
2025-08-06,80.37,82.35,77.43,81.0,2748429.0
2025-08-07,80.69,82.27,80.07,80.99,978631.0
2025-08-08,80.57,87.5,80.48,83.02,6740395.0
2025-08-11,83.66,87.2,83.66,85.71,3251013.0
2025-08-12,87.5,87.5,84.46,84.65,1085036.0
2025-08-13,85.29,85.95,83.22,83.47,1495021.0
2025-08-14,84.25,84.45,82.15,82.88,587286.0
2025-08-18,84.9,87.4,83.46,85.45,2253671.0
2025-08-19,85.1,91.77,84.91,90.83,9499369.0
2025-08-20,91.4,91.4,85.4,85.98,2085523.0
2025-08-21,85.98,87.5,85.59,85.93,878538.0
2025-08-22,85.95,88.69,85.61,86.35,994734.0
2025-08-25,86.7,87.15,83.5,83.72,1204064.0
2025-08-26,83.7,85.31,82.51,83.16,911985.0
2025-08-28,82.3,85.4,82.3,84.28,1367566.0
2025-08-29,84.15,87.64,84.13,87.1,947343.0
2025-09-01,87.2,87.5,86.07,86.79,420392.0
2025-09-02,86.8,89.4,85.61,86.08,1137080.0
2025-09-03,86.49,88.06,85.21,85.51,972002.0
2025-09-04,86.9,86.9,83.9,84.01,678950.0
2025-09-05,84.0,85.0,84.0,84.49,250215.0
2025-09-08,84.2,84.71,82.8,83.06,707329.0
2025-09-09,83.11,83.47,82.52,82.75,183726.0
2025-09-10,83.24,83.53,81.9,82.33,244388.0
2025-09-11,82.4,84.22,81.96,83.53,383424.0
2025-09-12,83.21,84.23,82.41,83.28,395264.0
2025-09-15,84.15,85.39,82.85,84.89,478139.0
2025-09-16,85.45,88.27,85.06,85.64,1308500.0
2025-09-17,85.8,86.22,84.2,85.23,360388.0
2025-09-18,85.02,85.98,84.2,84.36,248994.0
2025-09-19,84.5,84.99,84.05,84.32,227690.0
2025-09-22,84.61,85.99,83.3,83.68,264503.0
2025-09-23,84.0,85.7,83.5,83.71,163468.0
2025-09-24,84.75,84.75,83.01,83.12,145457.0
2025-09-25,83.28,83.84,82.21,82.79,224794.0
2025-09-26,82.51,84.01,81.9,82.47,233977.0
2025-09-29,83.5,83.5,82.54,82.81,102320.0
2025-09-30,82.5,83.51,82.05,82.15,114405.0
2025-10-01,82.01,83.4,82.01,82.71,148176.0
2025-10-03,83.5,83.5,82.04,82.35,134379.0
2025-10-06,82.35,83.3,82.01,82.44,173550.0
2025-10-07,82.51,82.95,81.66,82.63,376971.0
2025-10-08,82.4,82.97,81.8,81.96,102715.0
2025-10-09,81.97,82.85,80.6,81.01,286423.0
2025-10-10,80.44,81.71,80.35,81.08,95619.0
2025-10-13,81.68,81.76,80.65,80.78,221365.0
2025-10-14,81.18,81.58,79.33,79.55,309313.0
2025-10-15,79.55,81.4,79.55,80.94,194598.0
2025-10-16,81.0,81.48,80.05,80.21,104820.0
2025-10-17,80.21,81.77,80.21,80.81,129287.0
2025-10-20,81.02,82.4,80.83,81.49,117199.0
2025-10-21,82.0,82.0,81.1,81.55,62976.0
2025-10-23,81.55,82.48,81.02,81.27,169429.0
2025-10-24,82.48,82.48,81.11,81.33,253113.0
2025-10-27,85.0,87.79,81.0,82.91,1922342.0
2025-10-28,82.9,84.14,82.75,83.41,268381.0
2025-10-29,83.79,84.25,83.19,83.88,203837.0
2025-10-30,83.3,84.22,83.16,83.48,146069.0
2025-10-31,83.3,84.0,83.3,83.77,123060.0
2025-11-03,84.0,84.2,83.0,83.21,139165.0
2025-11-04,83.05,83.84,81.9,82.39,106719.0
2025-11-06,82.98,83.0,81.0,81.09,114113.0
2025-11-07,80.1,81.5,79.62,80.81,108689.0
2025-11-10,80.55,81.2,80.02,80.25,85331.0
2025-11-11,80.88,80.88,80.09,80.66,48978.0
2025-11-12,80.66,80.88,79.9,80.0,107074.0
2025-11-13,80.1,80.61,79.75,79.94,100872.0
2025-11-14,79.7,79.93,79.0,79.32,70362.0
2025-11-17,79.35,80.0,78.9,79.16,75887.0
2025-11-18,78.9,79.46,78.8,78.91,77110.0
2025-11-19,78.61,78.96,78.03,78.12,111173.0
2025-11-20,78.5,79.11,78.02,78.58,61440.0
2025-11-21,78.58,78.99,77.46,78.51,95842.0
2025-11-24,78.05,78.85,77.71,78.11,79690.0
2025-11-25,77.48,78.16,77.47,77.99,53723.0
2025-11-26,78.3,79.65,77.73,78.51,68433.0
2025-11-27,78.01,78.83,77.4,77.97,120361.0
2025-11-28,78.0,78.88,77.39,78.24,588564.0
2025-12-01,78.0,78.3,77.0,77.49,136375.0
2025-12-02,77.7,77.72,75.2,75.35,159540.0
2025-12-03,76.1,76.1,75.25,75.35,57890.0
2025-12-04,75.02,75.77,74.36,74.99,185286.0
2025-12-05,74.6,75.69,74.51,74.98,169671.0
2025-12-08,74.25,74.86,72.97,74.57,97071.0
2025-12-09,73.6,73.94,72.06,72.83,174748.0
2025-12-10,72.15,73.84,72.15,72.73,66819.0
2025-12-11,72.05,73.09,72.05,72.61,31607.0
2025-12-12,72.27,73.92,72.27,73.06,48344.0
2025-12-15,73.3,73.42,72.4,72.5,42964.0
2025-12-16,72.5,72.8,71.71,71.97,44469.0
2025-12-17,71.5,72.04,70.95,71.51,80082.0
2025-12-18,71.51,71.64,70.44,71.23,65378.0
2025-12-19,71.3,72.15,70.92,71.79,36904.0
2025-12-22,71.25,74.0,70.01,71.4,552437.0
2025-12-23,71.15,72.05,70.11,71.43,440840.0
2025-12-24,71.0,71.86,70.0,70.37,680144.0
2025-12-26,70.2,70.35,68.5,69.03,616232.0
2025-12-29,68.71,69.52,67.0,67.4,921751.0
2025-12-30,67.25,67.99,65.7,65.85,698200.0
2025-12-31,65.85,70.34,65.85,66.87,1501706.0
2026-01-01,66.87,67.99,66.51,67.45,121359.0
2026-01-02,68.09,69.49,66.92,68.7,222584.0
2026-01-05,68.5,69.23,67.3,68.7,149658.0
2026-01-06,68.3,68.55,67.5,68.01,120713.0
2026-01-07,67.75,68.54,67.12,67.76,116596.0
2026-01-08,67.3,68.1,66.6,67.21,111995.0
2026-01-09,66.75,67.74,66.0,66.64,77428.0
2026-01-12,67.0,67.0,65.5,66.23,76648.0
2026-01-13,66.2,67.34,66.06,66.65,44704.0
2026-01-14,66.01,68.2,66.01,67.52,79061.0
2026-01-16,67.52,68.0,66.89,67.21,35987.0
2026-01-19,67.21,67.21,66.15,66.31,65939.0
2026-01-20,66.0,67.25,59.01,61.02,997184.0
2026-01-21,61.9,65.4,59.21,59.96,639837.0
2026-01-22,60.6,62.0,59.8,60.96,108329.0
2026-01-23,61.0,63.0,58.02,58.84,229340.0
2026-01-27,59.14,60.0,58.1,59.04,130536.0
2026-01-28,59.9,61.5,59.0,60.47,165838.0
2026-01-29,63.0,65.49,58.34,58.93,1274167.0
2026-01-30,59.0,61.2,58.81,60.84,388220.0
2026-02-01,61.8,62.0,59.92,61.0,93598.0
2026-02-02,61.99,61.99,59.27,61.02,98933.0
2026-02-03,62.62,64.0,61.05,61.72,294209.0
2026-02-04,62.34,62.4,60.56,61.69,119910.0
2026-02-05,62.32,62.32,60.8,61.29,58532.0
2026-02-06,60.8,61.34,60.0,60.52,125344.0
2026-02-09,61.35,61.8,60.55,61.69,109565.0
2026-02-10,61.75,61.8,61.02,61.41,88971.0
2026-02-11,62.0,62.9,61.02,61.59,159011.0
2026-02-12,61.55,64.3,60.85,62.29,538989.0
2026-02-13,62.25,62.25,60.99,61.41,111659.0
2026-02-16,61.0,62.2,59.4,61.31,206282.0
2026-02-17,61.05,62.5,60.5,61.33,86518.0
2026-02-18,61.75,63.24,60.84,62.75,280298.0
2026-02-19,62.75,62.75,61.25,61.79,87094.0
2026-02-20,61.25,62.5,60.89,61.33,123132.0
2026-02-23,62.33,63.1,60.3,61.74,542679.0
2026-02-24,61.5,62.5,60.75,61.47,251249.0
2026-02-25,61.51,63.5,61.22,62.63,312882.0
2026-02-26,62.22,62.48,61.51,61.82,51647.0
2026-02-27,62.0,62.0,60.52,60.75,92270.0
2026-03-02,59.0,60.59,58.75,59.59,119826.0
2026-03-04,59.0,59.0,55.72,57.7,376001.0
2026-03-05,57.99,59.16,55.4,58.37,493884.0
2026-03-06,58.39,60.01,57.5,59.48,147866.0
2026-03-09,57.8,58.41,56.18,57.95,152612.0
2026-03-10,58.0,59.21,58.0,58.38,61901.0
2026-03-11,58.05,60.38,58.02,58.62,127724.0
2026-03-12,58.91,61.3,57.72,60.68,177547.0
2026-03-13,60.91,61.0,58.17,59.43,132926.0
2026-03-16,59.6,59.6,57.0,58.19,358050.0
2026-03-17,58.94,59.45,58.0,58.99,169206.0
2026-03-18,59.87,60.5,59.0,60.15,163448.0
2026-03-19,59.0,60.3,58.45,59.61,63451.0
2026-03-20,60.0,60.48,59.29,59.78,121370.0
2026-03-23,59.02,59.31,57.2,57.67,151382.0
2026-03-24,57.95,59.0,56.16,57.11,205132.0
2026-03-25,56.77,57.87,56.77,57.11,218763.0
2026-03-27,57.1,57.75,55.86,56.28,505009.0
2026-03-30,55.99,56.54,54.36,55.65,497706.0
2026-04-01,56.5,58.75,56.5,57.97,160714.0
2026-04-02,57.49,59.0,56.71,58.69,74781.0
2026-04-06,58.1,59.36,57.76,58.86,68358.0
2026-04-07,59.85,62.0,59.22,59.98,393599.0
2026-04-08,62.0,65.94,60.53,63.77,325044.0
2026-04-09,64.28,64.28,62.05,62.53,89571.0
2026-04-10,63.47,63.48,62.4,63.12,53915.0
2026-04-13,62.9,63.73,61.08,62.58,107330.0
2026-04-15,62.8,65.5,62.8,65.2,142780.0
2026-04-16,65.95,67.25,65.02,65.21,95137.0
2026-04-17,65.45,66.9,65.1,66.59,78634.0
2026-04-20,66.59,68.43,66.0,67.57,148215.0
2026-04-21,68.77,69.7,67.02,68.37,100931.0
2026-04-22,68.45,68.45,67.31,67.98,57549.0
2026-04-23,67.5,69.09,67.25,67.95,101565.0
2026-04-24,68.01,68.95,66.16,67.6,62097.0
2026-04-27,67.6,68.77,67.5,68.01,69159.0
2026-04-28,68.4,68.45,67.81,68.05,50150.0
2026-04-29,68.1,69.78,67.41,67.96,277832.0
