date,open,high,low,close,volume
2021-11-23,62.49,62.5,59.98,60.06,1396.0
2021-11-24,62.0,62.0,59.99,60.0,3417.0
2021-11-25,61.8,61.8,59.0,59.9,3112.0
2021-11-26,58.05,60.17,55.61,57.66,1605.0
2021-11-29,56.01,59.67,53.99,55.7,1730.0
2021-11-30,55.69,59.6,51.98,58.74,2996.0
2021-12-01,60.0,63.37,59.23,62.52,43167.0
2021-12-02,65.98,65.98,61.0,61.34,5926.0
2021-12-03,62.99,62.99,58.41,58.94,2418.0
2021-12-06,61.33,61.6,59.03,59.36,9355.0
2021-12-07,59.44,61.0,58.5,59.06,4041.0
2021-12-08,61.0,63.45,59.01,61.72,26308.0
2021-12-09,61.8,62.81,60.0,60.2,2998.0
2021-12-10,61.0,63.0,60.05,62.17,6748.0
2021-12-13,64.0,64.0,60.23,62.59,4745.0
2021-12-14,62.5,63.0,60.66,62.97,651.0
2021-12-15,58.21,63.99,58.21,61.92,4280.0
2021-12-16,61.03,62.9,60.0,60.54,1467.0
2021-12-17,63.67,63.67,57.78,60.43,3952.0
2021-12-20,65.8,65.8,58.43,58.68,2964.0
2021-12-21,62.0,63.26,59.32,59.69,4028.0
2021-12-22,61.8,61.8,59.4,60.08,2518.0
2021-12-23,61.7,61.7,56.6,58.05,1877.0
2021-12-24,58.58,59.97,58.06,58.68,1420.0
2021-12-27,58.79,60.24,58.03,58.85,2303.0
2021-12-28,59.37,60.8,58.76,59.95,1060.0
2021-12-29,60.65,60.86,58.6,59.81,1625.0
2021-12-30,59.89,61.15,58.0,58.48,2143.0
2021-12-31,59.44,59.75,58.6,58.99,1304.0
2022-01-03,58.9,59.99,58.56,59.26,4344.0
2022-01-04,60.2,60.2,57.1,58.15,4987.0
2022-01-05,58.6,59.39,56.29,56.94,2105.0
2022-01-06,57.41,57.99,56.0,57.07,8242.0
2022-01-07,57.19,57.97,56.5,56.91,1132.0
2022-01-10,56.64,58.39,56.43,58.14,4289.0
2022-01-11,57.05,60.6,57.04,59.73,5488.0
2022-01-12,61.0,61.0,58.6,58.98,1554.0
2022-01-13,57.0,59.85,56.72,58.28,2835.0
2022-01-14,60.0,66.21,57.58,64.48,59312.0
2022-01-17,66.0,67.2,64.5,65.57,37260.0
2022-01-18,66.0,66.04,63.22,63.3,12094.0
2022-01-19,62.72,65.67,62.0,63.2,741.0
2022-01-20,62.2,64.48,62.0,62.31,2151.0
2022-01-21,59.95,61.68,59.0,60.88,3587.0
2022-01-24,59.81,60.47,56.02,57.96,2228.0
2022-01-25,57.79,62.4,55.48,56.68,1911.0
2022-01-27,55.8,64.96,55.01,60.12,2452.0
2022-01-28,61.81,68.21,59.6,62.9,63161.0
2022-01-31,62.56,62.8,60.67,62.05,11670.0
2022-02-01,61.19,62.73,60.07,61.87,5601.0
2022-02-02,63.09,63.09,61.01,62.08,1256.0
2022-02-03,61.6,63.0,60.6,60.84,2656.0
2022-02-04,61.58,62.36,60.0,60.2,6395.0
