date,open,high,low,close,volume
2026-04-20,1419.5,1519.95,1410.5,1411.65,27.0
2026-04-21,1400.0,1495.0,1390.0,1451.45,88.0
2026-04-22,1484.95,1484.95,1425.0,1437.15,30.0
2026-04-23,1440.05,1444.35,1420.0,1433.95,51.0
2026-04-24,1420.05,1420.05,1404.4,1404.4,24.0
2026-04-27,1439.0,1439.0,1397.7,1409.4,41.0
2026-04-28,1420.05,1420.05,1400.1,1408.7,53.0
2026-04-29,1400.1,1429.85,1380.0,1395.7,50.0
2026-04-30,1396.05,1396.05,1320.1,1344.75,90.0
2026-05-04,1374.4,1441.0,1374.4,1413.4,201.0
2026-05-05,1419.0,1451.0,1273.0,1364.5,123.0
2026-05-06,1404.9,1465.5,1352.2,1368.0,223.0
2026-05-07,1428.8,1428.8,1372.7,1372.7,43.0
2026-05-08,1380.1,1419.7,1368.0,1376.4,101.0
