date,open,high,low,close,volume
2021-05-12,380.0,381.6,360.1,362.5,109728.0
2021-05-14,366.0,368.5,345.7,349.55,157162.0
2021-05-17,356.95,374.7,353.65,372.6,232470.0
2021-05-18,377.0,401.0,376.25,392.9,1053201.0
2021-05-19,394.0,418.9,393.0,414.4,741880.0
2021-05-20,416.0,416.0,395.0,399.6,297333.0
2021-05-21,400.45,411.0,399.15,402.85,198655.0
2021-05-24,404.9,408.3,385.1,387.55,232709.0
2021-05-25,390.0,400.0,388.35,390.75,136041.0
2021-05-26,392.05,397.5,381.0,385.2,181885.0
2021-05-27,388.0,388.0,376.0,378.4,119873.0
2021-05-28,383.1,388.75,372.0,374.8,85376.0
2021-05-31,373.1,380.95,369.35,372.5,104448.0
2021-06-01,374.95,375.45,354.0,356.6,147862.0
2021-06-02,357.1,372.8,357.1,371.05,109605.0
2021-06-03,374.45,378.25,366.95,368.55,94047.0
2021-06-04,371.0,377.8,369.55,375.9,101724.0
2021-06-07,379.85,382.15,375.25,376.9,57711.0
2021-06-08,377.1,378.75,368.0,372.35,59585.0
2021-06-09,370.4,376.95,365.0,368.45,60572.0
2021-06-10,377.9,386.15,376.4,379.45,137504.0
2021-06-11,382.1,395.8,380.1,393.65,198000.0
2021-06-14,395.45,397.45,381.1,389.4,84360.0
2021-06-15,393.0,398.7,386.85,388.35,112023.0
2021-06-16,388.8,391.0,376.05,381.4,78705.0
2021-06-17,378.95,388.1,367.0,373.35,68615.0
2021-06-18,372.0,375.5,357.35,368.6,102872.0
2021-06-21,363.95,384.4,360.95,382.5,66546.0
2021-06-22,390.0,406.8,385.15,399.45,349738.0
2021-06-23,402.6,412.0,395.95,400.2,317761.0
2021-06-24,401.0,414.1,396.3,397.65,184216.0
2021-06-25,401.2,412.3,398.3,408.4,196328.0
2021-06-28,411.0,412.65,401.55,403.75,84171.0
2021-06-29,405.0,406.1,388.0,390.15,96697.0
2021-06-30,393.55,396.95,385.4,387.2,72449.0
2021-07-01,388.0,391.5,386.85,390.05,40128.0
2021-07-02,389.15,398.5,389.0,397.0,66202.0
2021-07-05,400.0,400.0,390.05,391.1,66615.0
2021-07-06,392.95,398.8,390.0,392.45,57535.0
2021-07-07,390.0,411.35,389.0,406.0,210821.0
2021-07-08,407.4,409.65,391.0,395.9,76136.0
2021-07-09,397.8,403.5,392.05,400.55,77509.0
2021-07-12,404.0,413.75,392.1,395.2,134597.0
2021-07-13,399.9,404.8,395.05,396.8,73563.0
2021-07-14,395.2,405.0,395.2,399.15,101871.0
2021-07-15,399.0,403.85,395.25,397.35,71401.0
2021-07-16,397.0,412.4,396.95,408.1,146752.0
2021-07-19,406.1,425.0,401.3,408.75,310957.0
2021-07-20,408.8,413.15,392.05,397.2,100776.0
2021-07-22,402.3,418.8,402.0,415.95,238095.0
2021-07-23,419.7,442.15,408.9,437.9,1150313.0
2021-07-26,443.0,449.9,437.1,439.0,405694.0
2021-07-27,445.95,453.5,435.7,442.35,364057.0
2021-07-28,444.95,447.5,432.85,440.55,139852.0
2021-07-29,444.0,462.0,435.2,451.6,620949.0
2021-07-30,452.0,456.0,443.0,446.3,191497.0
2021-08-02,449.8,466.2,442.5,452.45,1196015.0
2021-08-03,460.0,461.5,444.45,445.95,226981.0
2021-08-04,449.45,454.0,433.0,436.4,180694.0
2021-08-05,439.4,442.0,423.65,438.2,163083.0
2021-08-06,438.0,445.85,437.0,439.6,86034.0
2021-08-09,444.9,445.65,431.0,433.3,91388.0
2021-08-10,435.2,435.2,405.55,415.15,129990.0
2021-08-11,415.0,421.95,381.05,405.7,214522.0
2021-08-12,409.8,426.0,409.8,418.65,77813.0
2021-08-13,421.0,425.0,413.95,418.6,109010.0
2021-08-16,417.0,417.0,380.9,409.0,152463.0
2021-08-17,409.0,410.1,400.0,401.7,65754.0
2021-08-18,402.95,408.05,394.8,397.15,68747.0
2021-08-20,393.0,394.9,382.5,384.05,95730.0
2021-08-23,396.0,400.2,366.45,374.7,103917.0
2021-08-24,381.0,390.0,374.25,387.05,57534.0
2021-08-25,393.7,399.3,387.15,393.3,68254.0
2021-08-26,388.0,388.7,383.95,386.35,40465.0
2021-08-27,387.95,394.0,385.2,387.3,56642.0
2021-08-30,394.0,418.0,389.0,415.15,220255.0
2021-08-31,416.2,416.2,406.1,407.4,59446.0
2021-09-01,409.0,410.0,394.75,395.85,54999.0
2021-09-02,397.65,397.85,391.25,393.45,50835.0
2021-09-03,395.45,398.1,389.9,393.4,50383.0
2021-09-06,395.95,395.95,386.25,390.85,46914.0
2021-09-07,391.0,394.95,386.7,388.35,40042.0
2021-09-08,390.0,391.25,381.25,387.8,46974.0
2021-09-09,388.0,393.95,381.9,385.35,60555.0
2021-09-13,382.0,393.75,382.0,392.2,41089.0
2021-09-14,393.85,395.8,388.0,389.65,31022.0
2021-09-15,391.6,396.35,389.15,392.35,43311.0
2021-09-16,392.7,396.25,386.45,389.6,51011.0
2021-09-17,389.1,408.0,385.0,406.0,178083.0
2021-09-20,400.0,401.0,390.0,391.95,58906.0
2021-09-21,389.1,393.95,363.5,380.05,93460.0
2021-09-22,381.75,389.75,381.7,384.3,33778.0
2021-09-23,387.8,418.1,387.6,391.85,70779.0
2021-09-24,393.0,393.0,383.1,385.9,32377.0
2021-09-27,387.15,387.85,377.1,380.55,45368.0
2021-09-28,382.5,386.0,380.0,381.65,29395.0
2021-09-29,381.6,390.95,371.0,387.9,45125.0
2021-09-30,389.0,392.6,370.1,384.6,58120.0
2021-10-01,381.0,388.95,379.55,383.65,48144.0
2021-10-04,384.1,396.6,384.1,393.55,59592.0
2021-10-05,395.95,401.9,390.95,399.15,81313.0
2021-10-06,399.1,403.0,392.0,393.55,50304.0
2021-10-07,393.7,397.9,390.05,391.05,25988.0
2021-10-08,391.3,399.5,389.55,390.35,32963.0
2021-10-11,391.1,393.9,388.0,390.0,28092.0
2021-10-12,390.0,394.25,387.35,390.45,23615.0
2021-10-13,390.3,395.65,387.15,391.6,68254.0
2021-10-14,393.6,406.5,391.25,398.35,94336.0
2021-10-18,401.1,408.0,400.0,402.65,98678.0
2021-10-19,406.45,408.05,380.0,389.45,119442.0
2021-10-20,387.8,387.8,373.7,375.85,85991.0
2021-10-21,378.0,383.0,375.05,377.55,41301.0
2021-10-22,380.15,382.1,371.25,377.95,41274.0
2021-10-25,378.7,379.85,365.3,373.75,36430.0
2021-10-26,374.85,382.2,372.45,379.3,31607.0
2021-10-27,379.3,383.9,376.05,379.75,27220.0
2021-10-28,379.0,380.35,366.0,367.4,47236.0
2021-10-29,370.0,373.35,365.25,368.55,24465.0
2021-11-01,372.9,385.0,369.9,371.45,142827.0
2021-11-02,373.35,376.0,362.1,364.4,65602.0
