date,open,high,low,close,volume
2024-08-19,105.9,119.76,100.0,100.06,8115.0
2024-08-20,100.57,100.57,100.09,100.48,630151.0
2024-08-21,100.48,100.59,100.16,100.5,17327.0
2024-08-22,100.65,100.65,100.45,100.45,189.0
2024-08-23,102.25,102.25,100.35,100.8,686.0
2024-08-26,100.67,100.67,100.3,100.38,500.0
2024-08-27,100.72,100.72,100.3,100.68,196.0
2024-08-28,100.7,100.7,100.3,100.45,166.0
2024-08-29,100.7,100.7,100.25,100.7,3664.0
2024-08-30,102.51,102.51,99.8,100.81,1012.0
2024-09-02,100.75,100.75,100.25,100.65,2373.0
2024-09-03,103.18,103.18,100.27,100.65,29776.0
2024-09-04,100.8,100.8,100.62,100.62,909.0
2024-09-05,100.62,100.83,100.43,100.43,35119.0
2024-09-09,100.91,100.92,100.48,100.92,105.0
2024-09-10,100.92,100.92,100.54,100.54,288.0
2024-09-12,101.13,101.13,101.13,101.13,10.0
2024-09-13,101.13,101.53,101.13,101.53,223.0
2024-09-16,101.53,101.61,101.09,101.61,76.0
2024-09-18,104.0,104.0,101.1,101.1,6.0
2024-09-19,101.1,101.85,101.1,101.7,15166.0
2024-09-20,101.3,102.09,101.3,102.09,14.0
2024-09-23,101.85,101.85,101.8,101.8,62.0
2024-09-24,101.78,101.95,101.4,101.95,166.0
2024-09-25,101.93,102.02,101.4,101.4,837.0
2024-09-26,101.6,102.1,101.6,102.05,170.0
2024-09-27,102.05,102.3,102.05,102.3,8.0
2024-09-30,101.53,102.05,101.53,102.0,13.0
2024-10-01,102.0,102.0,101.6,101.6,545.0
2024-10-03,102.3,102.4,101.7,102.4,91.0
2024-10-04,102.0,102.0,102.0,102.0,4.0
2024-10-09,102.0,102.0,101.65,101.65,12.0
2024-10-10,101.65,102.18,101.65,102.18,2.0
2024-10-11,102.17,102.22,101.45,101.45,54.0
2024-10-14,102.15,102.25,101.7,102.25,218.0
2024-10-15,106.52,106.52,102.19,102.2,122.0
2024-10-16,102.3,102.35,101.75,102.35,12.0
2024-10-18,102.2,102.2,102.18,102.18,151.0
2024-10-21,101.95,101.95,101.95,101.95,1.0
2024-10-22,101.4,101.95,101.4,101.95,49.0
2024-10-24,101.9,101.95,101.9,101.95,68.0
2024-10-28,101.8,101.8,101.75,101.8,30.0
2024-10-29,101.8,102.0,101.5,102.0,162.0
2024-11-08,102.2,102.2,102.2,102.2,2000.0
2024-11-11,102.19,102.19,101.9,101.9,12.0
2024-11-14,101.8,102.45,101.8,102.45,3.0
2024-11-18,102.2,102.2,101.6,101.75,152.0
2024-11-19,101.85,101.85,101.85,101.85,200.0
2024-11-21,102.43,102.43,102.43,102.43,2.0
2024-11-25,101.75,102.35,101.75,102.35,27.0
2024-11-29,102.78,102.78,102.17,102.78,103.0
2024-12-02,102.65,102.65,102.65,102.65,100.0
2024-12-04,102.91,102.91,102.91,102.91,2.0
2024-12-09,108.05,108.05,102.63,102.73,377.0
2024-12-13,103.54,103.55,103.23,103.55,41.0
2024-12-26,101.35,103.2,101.35,103.2,34.0
2024-12-27,102.65,103.55,102.65,103.48,365.0
2024-12-30,103.27,103.27,102.72,102.72,2002.0
2025-01-01,103.3,103.3,103.3,103.3,3.0
2025-01-02,102.7,102.7,102.7,102.7,1.0
2025-01-06,102.81,102.81,102.81,102.81,159.0
2025-01-07,102.97,103.54,102.97,103.53,101.0
2025-01-08,103.74,103.74,103.1,103.73,204.0
2025-01-09,102.97,102.97,102.97,102.97,30.0
2025-01-10,102.93,103.55,102.93,103.55,103.0
2025-01-15,102.66,103.35,102.66,103.35,112.0
2025-01-23,103.51,103.51,103.45,103.45,23.0
2025-01-24,103.55,103.55,103.55,103.55,166.0
2025-01-28,103.92,103.92,103.92,103.92,2.0
2025-02-04,103.92,103.92,103.92,103.92,10.0
2025-02-11,104.47,104.47,104.47,104.47,958.0
2025-02-13,104.61,104.61,104.61,104.61,50.0
2025-02-24,104.19,104.61,104.19,104.2,112.0
2025-02-27,104.61,104.61,104.61,104.61,10.0
2025-02-28,104.61,104.61,104.61,104.61,2.0
2025-03-03,104.27,104.61,104.27,104.61,3.0
2025-03-05,104.61,104.9,104.3,104.9,75.0
2025-03-06,105.18,105.18,105.18,105.18,1.0
2025-03-07,105.18,105.18,104.7,104.7,111.0
2025-03-10,105.17,105.17,105.17,105.17,4243.0
2025-03-11,105.2,105.2,105.2,105.2,2.0
2025-03-12,105.3,105.3,105.3,105.3,17.0
2025-03-19,104.99,105.05,104.99,105.05,11.0
2025-03-24,106.0,106.0,106.0,106.0,1547.0
2025-03-25,105.9,105.9,105.9,105.9,155.0
2025-03-27,105.9,106.25,105.87,106.25,580164.0
2025-03-28,106.25,106.25,106.25,106.25,450.0
2025-04-01,105.75,105.75,105.75,105.75,21.0
2025-04-07,106.66,107.36,106.66,107.36,3394.0
2025-04-08,107.34,107.34,106.81,107.34,151.0
2025-04-09,106.9,106.9,106.7,106.7,258.0
2025-04-15,107.0,107.0,107.0,107.0,1.0
2025-04-17,107.6,107.6,107.6,107.6,21.0
2025-04-21,107.72,108.53,107.72,108.29,1404.0
2025-04-28,108.51,108.51,108.4,108.4,758.0
2025-04-29,108.8,108.8,107.62,107.85,1124.0
2025-04-30,108.04,108.65,108.04,108.55,819.0
2025-05-02,108.58,108.85,108.31,108.31,616.0
2025-05-05,108.63,108.63,108.2,108.2,156.0
2025-05-06,108.74,108.83,108.0,108.07,848.0
2025-05-07,108.61,108.95,108.61,108.85,581.0
2025-05-08,108.92,108.96,108.92,108.96,209.0
2025-05-09,109.5,109.5,108.0,108.2,206.0
2025-05-12,109.35,109.35,109.34,109.34,114.0
2025-05-13,108.82,109.0,108.82,109.0,161.0
2025-05-14,109.0,109.0,108.35,108.4,310.0
2025-05-15,108.95,108.95,108.95,108.95,1082.0
2025-05-16,109.42,109.71,109.01,109.71,405.0
2025-05-19,109.67,109.75,109.67,109.74,354.0
2025-05-20,109.19,109.6,109.19,109.6,156.0
2025-05-21,109.76,109.76,109.7,109.7,373.0
2025-05-22,109.95,109.95,109.19,109.19,156.0
2025-05-23,109.7,109.7,109.16,109.16,1604.0
2025-05-26,109.7,109.77,109.7,109.77,169.0
2025-05-27,109.87,109.87,109.21,109.75,213.0
2025-05-28,109.95,109.95,109.95,109.95,1155.0
2025-05-29,109.99,109.99,109.99,109.99,157.0
2025-05-30,109.9,110.0,109.9,110.0,160.0
2025-06-02,109.73,109.73,109.73,109.73,157.0
2025-06-03,109.8,110.0,109.35,110.0,1191.0
2025-06-04,109.94,109.98,109.45,109.95,1143.0
2025-06-05,109.93,110.02,109.31,109.31,253.0
2025-06-06,109.85,109.85,109.85,109.85,155.0
2025-06-09,110.39,110.39,109.4,109.85,387.0
2025-06-10,109.37,109.37,109.37,109.37,313.0
2025-06-11,109.91,109.91,108.93,108.93,531.0
2025-06-12,109.29,109.48,109.29,109.48,190.0
2025-06-13,110.02,110.02,109.56,109.57,246.0
2025-06-16,110.11,110.11,108.81,109.49,1197.0
2025-06-17,109.64,109.8,109.64,109.77,149.0
2025-06-18,109.75,109.75,109.15,109.15,170.0
2025-06-19,109.69,109.69,108.91,109.67,3670.0
2025-06-20,109.34,109.5,109.34,109.49,1064.0
2025-06-23,109.26,109.26,109.0,109.26,278.0
2025-06-24,109.37,109.37,108.96,108.96,158.0
2025-06-25,109.5,109.69,109.5,109.55,170.0
2025-06-26,109.53,109.53,109.53,109.53,155.0
2025-06-27,109.57,109.57,108.92,108.92,173.0
2025-06-30,109.44,109.44,109.44,109.44,157.0
2025-07-01,109.6,109.6,109.06,109.06,155.0
2025-07-02,109.78,109.78,109.78,109.78,1.0
2025-07-03,109.87,109.87,109.8,109.8,249.0
2025-07-04,109.26,109.8,109.26,109.8,156.0
2025-07-08,109.92,109.95,109.35,109.9,2160.0
2025-07-09,109.82,109.82,109.82,109.82,155.0
2025-07-10,109.85,109.85,109.8,109.8,30.0
2025-07-11,109.75,109.75,109.74,109.74,156.0
2025-07-14,109.2,110.0,109.19,109.97,6158.0
2025-07-15,109.91,109.91,109.2,109.83,173.0
2025-07-17,109.31,109.31,109.31,109.31,230.0
2025-07-18,109.3,109.3,109.3,109.3,48.0
2025-07-21,109.55,109.95,109.55,109.89,7309.0
2025-07-23,109.99,109.99,109.45,109.45,27.0
2025-07-24,109.7,109.7,109.65,109.65,44.0
2025-07-25,109.45,109.45,109.45,109.45,101.0
2025-07-28,109.26,109.73,109.26,109.26,22.0
2025-07-29,109.11,109.11,109.1,109.1,381.0
2025-07-30,109.26,109.85,109.26,109.85,58.0
2025-07-31,109.85,109.85,109.26,109.85,10.0
2025-08-01,109.72,109.82,109.72,109.82,201.0
2025-08-04,109.82,109.82,109.82,109.82,1.0
2025-08-05,109.81,110.0,109.53,109.53,5.0
2025-08-07,109.37,109.6,109.25,109.6,65.0
2025-08-11,109.26,109.26,109.23,109.23,55.0
2025-08-12,109.23,109.23,109.23,109.23,33.0
2025-08-18,109.5,109.5,109.5,109.5,3.0
2025-08-19,108.5,108.5,108.5,108.5,59.0
2025-08-20,108.5,109.15,108.3,109.15,43.0
2025-08-22,108.99,109.0,108.99,109.0,2.0
2025-08-25,108.99,108.99,108.16,108.16,71.0
2025-08-28,108.07,108.74,108.07,108.74,102.0
2025-08-29,108.98,109.19,108.44,109.19,4.0
2025-09-01,107.65,108.71,107.65,108.71,2.0
2025-09-03,108.17,108.99,108.17,108.99,174.0
2025-09-04,108.45,108.45,108.45,108.45,686.0
2025-09-08,108.69,109.77,108.69,109.77,3.0
2025-09-09,109.55,109.76,109.55,109.76,13.0
2025-09-10,109.59,109.6,108.41,109.6,2041.0
2025-09-16,109.54,109.75,109.02,109.75,22.0
2025-09-17,109.0,109.74,109.0,109.0,2001.0
2025-09-19,109.71,109.71,108.66,108.66,117.0
2025-09-22,108.85,109.9,108.85,109.89,461.0
2025-09-23,110.43,110.43,109.25,109.78,25.0
2025-09-26,109.76,109.76,109.76,109.76,6.0
2025-09-29,109.22,109.75,109.22,109.75,7.0
2025-09-30,109.47,109.49,108.62,108.62,66.0
2025-10-01,108.64,108.64,108.64,108.64,2.0
2025-10-03,108.95,110.23,108.95,109.01,918.0
2025-10-06,109.37,109.37,109.09,109.11,104.0
2025-10-07,109.1,110.19,109.1,110.19,491.0
2025-10-08,110.1,110.1,110.0,110.0,4.0
2025-10-09,109.53,110.09,109.52,110.09,455.0
2025-10-13,110.01,110.01,109.47,109.47,34.0
2025-10-14,110.36,110.36,109.26,110.02,1269.0
2025-10-20,110.02,110.25,109.81,110.25,460.0
2025-10-23,109.8,110.22,109.79,110.22,14.0
2025-10-24,109.67,110.03,109.67,110.03,5.0
2025-10-28,110.02,110.1,110.02,110.1,10.0
2025-10-29,110.1,110.5,110.1,110.5,46239.0
2025-10-30,110.19,110.53,109.66,110.24,45479.0
2025-11-04,110.36,110.36,110.36,110.36,1.0
2025-11-06,110.27,110.39,109.84,110.35,5515.0
2025-11-07,109.93,109.93,109.85,109.87,5006.0
2025-11-10,109.88,109.88,109.88,109.88,61.0
2025-11-11,109.95,110.4,109.9,109.9,220.0
2025-11-13,110.44,110.81,109.96,110.81,27.0
2025-11-14,110.46,110.72,110.46,110.72,107.0
2025-11-18,110.72,110.72,109.74,110.4,596.0
2025-11-19,110.73,110.73,110.73,110.73,1.0
2025-11-20,109.83,110.48,109.82,110.48,521.0
2025-11-24,109.67,110.32,109.67,109.69,12.0
2025-11-25,109.97,110.32,109.96,110.09,697.0
2025-11-26,111.1,111.1,111.1,111.1,10.0
2025-11-27,110.71,110.71,110.28,110.28,8.0
2025-12-01,110.36,110.38,110.36,110.38,1008.0
2025-12-02,110.36,110.37,110.36,110.36,504.0
2025-12-03,110.0,110.0,109.97,109.97,3946.0
2025-12-04,110.59,110.59,110.59,110.59,1.0
2025-12-05,110.59,110.62,110.59,110.62,20.0
2025-12-08,110.62,110.75,110.62,110.75,3.0
2025-12-09,110.38,110.49,110.38,110.49,11.0
2025-12-10,109.95,110.5,109.95,110.31,173.0
2025-12-11,109.7,109.87,109.7,109.87,46.0
2025-12-12,109.87,109.87,109.87,109.87,3.0
2025-12-15,109.87,109.87,109.87,109.87,1.0
2025-12-22,109.87,109.87,109.87,109.87,11.0
2025-12-23,109.74,109.74,109.61,109.74,2066.0
2025-12-24,110.03,110.03,109.72,109.72,24.0
2025-12-26,110.03,110.03,110.03,110.03,962.0
2026-01-01,110.25,110.26,109.77,109.77,14.0
2026-01-05,110.21,110.4,109.73,110.17,5.0
2026-01-06,110.16,110.5,109.64,110.5,428.0
2026-01-07,110.24,110.69,110.24,110.67,4560.0
2026-01-08,110.46,110.46,110.46,110.46,4.0
2026-01-09,110.19,110.55,109.98,110.55,25.0
2026-01-12,110.17,110.34,109.58,109.71,347.0
2026-01-13,110.64,110.64,110.64,110.64,1.0
2026-01-14,110.31,110.48,110.31,110.48,3.0
2026-01-16,109.7,110.48,109.65,110.48,518.0
2026-01-19,110.12,110.13,109.63,110.13,177.0
2026-01-20,109.99,110.53,109.99,110.35,5.0
2026-01-21,110.07,110.08,110.0,110.0,80.0
2026-01-22,110.0,110.0,110.0,110.0,5.0
2026-01-23,109.95,110.75,109.6,110.75,4319.0
2026-01-27,110.28,110.46,109.79,110.46,33.0
2026-01-28,109.91,109.91,109.91,109.91,17.0
2026-01-29,110.21,110.21,109.51,109.51,64.0
2026-01-30,109.59,110.4,109.48,110.4,261.0
2026-02-01,110.95,110.95,109.61,109.61,505.0
2026-02-02,109.62,110.54,109.61,110.54,15.0
2026-02-03,110.01,110.86,110.01,110.86,410.0
2026-02-04,110.08,110.08,110.08,110.08,45.0
2026-02-05,110.61,110.61,110.61,110.61,1.0
2026-02-06,111.11,111.11,111.11,111.11,2.0
2026-02-09,110.05,110.25,109.7,110.25,116.0
2026-02-10,109.98,110.0,109.98,110.0,110.0
